{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '三明北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:27:11'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '南昌西', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:27:11'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '黄石', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:27:12'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '鄂州', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:27:14'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '武昌', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:27:15'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '花园', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:27:17'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '信阳', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:27:48'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '西安', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:27:49'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '杨陵', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:27:53'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '宝鸡', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:27:54'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '天水', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:27:55'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '武山', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:27:58'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '陇西', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:27:58'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '兰州', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:27:59'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '西宁', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:00'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '嘉峪关', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:06'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '柳园', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:07'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '哈密', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:11'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '鄯善北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:11'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '吐鲁番北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:12'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '乌鲁木齐南', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:12'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '乌鲁木齐', 'rw': '10', 'yw': '有', 'yz': '有', 'wz': '无', 'modifyTime': '2017-09-26 03:28:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '宝鸡', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '三明北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:11'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '南昌西', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:11'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '黄石', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '鄂州', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:14'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '武昌', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:14'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '花园', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:15'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '信阳', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:15'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '西安', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:15'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '杨陵', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:15'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '宝鸡', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:15'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '天水', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:15'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '武山', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '陇西', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '兰州', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '西宁', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '嘉峪关', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '柳园', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:17'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '哈密', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:19'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '鄯善北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:19'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '吐鲁番北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:19'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '乌鲁木齐南', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:19'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '乌鲁木齐', 'rw': '10', 'yw': '有', 'yz': '有', 'wz': '无', 'modifyTime': '2017-09-26 03:28:19'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '宝鸡', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:19'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '三明北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:09'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '南昌西', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:09'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '黄石', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:09'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '鄂州', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:10'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '武昌', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:11'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '花园', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:12'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '信阳', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:12'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '西安', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '杨陵', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '宝鸡', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '天水', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '武山', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:14'}
